Date,Open,High,Low,Close,Volume
11/02/2022,"147.00","147.50","145.50","147.00","9,630,051"
11/01/2022,"147.50","147.50","145.50","146.50","11,552,310"
10/31/2022,"143.50","146.50","143.00","146.00","17,756,439"
10/28/2022,"143.00","143.50","142.00","142.50","9,929,235"
10/27/2022,"142.00","143.00","141.00","143.00","16,998,203"
10/26/2022,"142.00","142.00","140.00","141.50","18,244,760"
10/25/2022,"144.50","144.50","140.50","141.50","44,996,273"
10/21/2022,"146.50","148.00","145.50","146.00","18,500,750"
10/20/2022,"147.50","149.00","147.00","148.50","8,834,462"
10/19/2022,"147.00","148.50","146.50","148.00","8,640,434"
10/18/2022,"146.00","147.00","145.50","146.50","10,716,030"
10/17/2022,"144.00","145.50","143.50","145.50","12,783,900"
10/12/2022,"143.50","145.00","143.50","144.00","7,745,078"
10/11/2022,"142.00","143.50","141.00","143.50","7,890,557"
10/10/2022,"142.00","142.50","141.50","142.00","4,961,361"
10/07/2022,"143.00","143.50","142.00","143.00","6,796,524"
10/06/2022,"142.50","144.00","142.50","142.50","16,167,650"
10/05/2022,"143.50","143.50","141.50","142.00","16,300,290"
10/04/2022,"142.50","143.00","142.00","142.50","8,038,812"
10/03/2022,"143.00","143.50","140.00","140.50","18,284,301"
09/30/2022,"143.50","144.00","142.50","144.00","12,206,370"
09/29/2022,"145.00","146.50","144.00","144.50","15,033,340"
09/28/2022,"144.50","145.00","143.50","143.50","12,505,910"
09/27/2022,"148.50","149.00","144.00","145.00","28,594,939"
09/26/2022,"151.00","151.50","149.00","149.50","12,448,070"
09/23/2022,"151.00","152.00","149.50","151.50","11,785,380"
09/22/2022,"150.00","152.00","149.00","151.00","17,734,580"
09/21/2022,"150.50","151.00","149.50","150.00","10,502,931"
09/20/2022,"150.00","151.50","150.00","150.50","9,070,667"
09/19/2022,"148.00","149.50","148.00","149.50","10,175,890"
